"id;username;nama;alamat;password;role"
"165001;almightyadmin;Admin Ganteng;Jalan Pegangsaan Timur nomor 56;27852f659ea846a39518d7ee9c544ac46bce6eaedade9fbadfd6e58f8afcc72f;admin"
"165002;temannya_admin;Asisten Admin;Jalan Imam Bonjol nomor 1;5e311302351d33715f6a9de52dc1d3d7e3c4963cd1ccb7bf69d3032c30f4ecd9;admin"
"165003;yandy117;Riandy Hasan;Jalan Sultan Adam nomor 22;352cef22b83180891a2accd4d9c72a696bc2be31e87142a15fe05356e35ecaa0;user"
"165004;vito267;Vito Christian Samudra;Jalan Pattimura nomor 17;a8801ca90dea7e4eb71063855e34e8e95eaebc95ad9d461b5f36323c71570074;user"
"165005;tania397;Tania Junardi Chua;Jalan Kapten Piere Tendean nomor 5;46f151fdfb280652d33fba333a0dbe0b204dd8af79f9049fa3d4a756c8b57a14;user"
"165006;ishmah097;Fildzah Ishmah Khairunnisa;Jalan Gatot Subroto nomor 10;c8e6df9205876d0d8ccc7ae9c5909767d7635b8bde8aea9783b7a93f67477a91;user"
"165007;tuanmor;Yang Mulia Tuan Mor;Jalan Brigjend H. Hasan Basri no 47;daa384d6603d6533883925fedd6aca1bf81d2e9817f13affd6dcafd3a5559f60;user"
"165008;tuankan;Yang Mulia Tuan Kan;Jalan A. Yani no 8;53e7a99b402e7889b70cd585888b53477250d681e02ac6e3cbe5fb4f40817763;user"
"165009;pakdengklek;Pak Dengklek;Jalan S Parman no 11;c5d96ce4c5d46aa35264ddc224b00d477652def950c96c7a8b8fa45c7510e77c;user"
"165010;buganesh;Bu Ganesh;Jalan S Parman no 12;4addd3003234731965ef109bdd1f88d0b90d98e5c0f167611f700adbbec74068;user"
